TLC2 Version 2.19 of 08 August 2024 (rev: 5a47802)
Running breadth-first search Model-Checking with fp 41 and seed -598648575451411514 with 128 workers on 128 cores with 406240MB heap and 64MB offheap memory [pid: 100234] (Linux 7.0.0-1004-aws amd64, Ubuntu 25.0.3-ea x86_64, MSBDiskFPSet, DiskStateQueue).
Parsing file /home/ubuntu/summerset/tla+/bodega_roster_lease/Bodega_MC.tla
Parsing file /home/ubuntu/summerset/tla+/bodega_roster_lease/Bodega.tla
Parsing file /tmp/FiniteSets.tla
Parsing file /tmp/Sequences.tla
Parsing file /tmp/Integers.tla
Parsing file /tmp/TLC.tla
Parsing file /tmp/Naturals.tla
Semantic processing of module Naturals
Semantic processing of module Sequences
Semantic processing of module FiniteSets
Semantic processing of module Integers
Semantic processing of module TLC
Semantic processing of module Bodega
Semantic processing of module Bodega_MC
Starting... (2026-05-12 06:17:01)
Computing initial states...
Finished computing initial states: 1 distinct state generated at 2026-05-12 06:17:06.
Progress(12) at 2026-05-12 06:17:09: 81,623 states generated (81,623 s/min), 35,648 distinct states found (35,648 ds/min), 23,808 states left on queue.
Progress(26) at 2026-05-12 08:15:20: 968,309,172 states generated (8,187,854 s/min), 331,456,975 distinct states found (2,805,562 ds/min), 91,095,527 states left on queue.
Progress(26) at 2026-05-12 08:16:20: 976,445,665 states generated (8,136,493 s/min), 334,276,873 distinct states found (2,819,898 ds/min), 91,711,787 states left on queue.
Checkpointing of run /home/ubuntu/tlc-states/0511-231656/26-05-12-06-17-01
Checkpointing completed at (2026-05-12 08:17:26)
Progress(26) at 2026-05-12 08:17:26: 985,218,454 states generated (8,772,789 s/min), 337,278,211 distinct states found (3,001,338 ds/min), 92,462,579 states left on queue.
Progress(26) at 2026-05-12 08:18:26: 993,348,908 states generated (8,130,454 s/min), 340,091,104 distinct states found (2,812,893 ds/min), 93,094,375 states left on queue.
Progress(26) at 2026-05-12 08:19:26: 1,001,606,526 states generated (8,257,618 s/min), 342,880,125 distinct states found (2,789,021 ds/min), 93,760,041 states left on queue.
Progress(26) at 2026-05-12 08:20:26: 1,009,406,990 states generated (7,800,464 s/min), 345,714,245 distinct states found (2,834,120 ds/min), 94,361,411 states left on queue.
Progress(26) at 2026-05-12 08:21:26: 1,017,459,917 states generated (8,052,927 s/min), 348,514,019 distinct states found (2,799,774 ds/min), 95,040,798 states left on queue.
Progress(26) at 2026-05-12 08:22:26: 1,025,329,134 states generated (7,869,217 s/min), 351,328,438 distinct states found (2,814,419 ds/min), 95,725,464 states left on queue.
